Height,beta_mol,beta_aer,beta_total,alpha_aer,alpha_mol
6000.0,1.007929930147901e-17,6.535947712408221e-06,6.5359477124183e-06,0.00039215686274449325,8.444014037029117e-17
6007.5,1.0070849402561161e-17,6.574621959227273e-06,6.574621959237344e-06,0.00039447731755363634,8.436935066265413e-17
6015.0,1.0062405948259821e-17,6.613756613746553e-06,6.613756613756616e-06,0.0003968253968247932,8.42986149453101e-17
6022.5,1.005396894117151e-17,6.6533599467630664e-06,6.653359946773121e-06,0.000399201596805784,8.422793324001164e-17
6030.0,1.0045538383895762e-17,6.693440428370141e-06,6.693440428380187e-06,0.0004016064257022085,8.415730556853654e-17
6037.5,1.0037114279035104e-17,6.734006733996696e-06,6.734006734006733e-06,0.00040404040403980177,8.408673195268771e-17
6045.0,1.0028696629195067e-17,6.775067750667479e-06,6.775067750677508e-06,0.00040650406504004873,8.401621241429317e-17
6052.5,1.0020285436984195e-17,6.816632583493729e-06,6.816632583503749e-06,0.0004089979550096237,8.394574697520623e-17
6060.0,1.0011880705014043e-17,6.858710562404253e-06,6.858710562414265e-06,0.0004115226337442552,8.387533565730538e-17
6067.5,1.0003482435899168e-17,6.901311249127333e-06,6.901311249137336e-06,0.00041407867494763995,8.380497848249428e-17
6075.0,9.995090632257168e-18,6.944444444434451e-06,6.944444444444446e-06,0.000416666666666067,8.373467547270207e-17
6082.5,9.986705296708646e-18,6.988120195657378e-06,6.988120195667364e-06,0.00041928721173944267,8.366442664988308e-17
6090.0,9.978326431877233e-18,7.032348804490725e-06,7.032348804500703e-06,0.0004219409282694435,8.359423203601697e-17
6097.5,9.969954040389593e-18,7.07714083509265e-06,7.077140835102619e-06,0.00042462845010555897,8.352409165310885e-17
6105.0,9.961588124875422e-18,7.12250712249716e-06,7.122507122507122e-06,0.00042735042734982963,8.345400552318919e-17
6112.5,9.95322868796745e-18,7.168458781352053e-06,7.168458781362006e-06,0.00043010752688112314,8.33839736683139e-17
