,00:02:05,00:03:06,00:04:07,00:05:07
2565.0,499128.83499999996,499778.87,501991.89,501740.625
2572.5,499210.42,500013.935,502265.405,502384.94999999995
2580.0,499740.91000000003,499784.16000000003,502103.175,501351.625
2587.5,499270.19,499695.69499999995,502296.985,502227.275
2595.0,499723.04,500360.905,501432.19499999995,502034.645
2602.5,499597.915,500062.72,501696.01,501913.395
2610.0,498936.72,499291.68,502422.235,502896.495
2617.5,499360.41000000003,500019.06999999995,501660.3,500988.735
2625.0,499492.485,500083.14,501798.83499999996,501944.94499999995
2632.5,498549.79,499920.03500000003,502711.05,502104.58999999997
2640.0,499796.985,499199.16000000003,502177.44499999995,501484.55
2647.5,500352.475,499929.925,502692.20499999996,501641.35
2655.0,499138.21499999997,499883.63,502169.98,501895.71499999997
2662.5,499384.03500000003,499221.56,501830.69499999995,502020.365
2670.0,499770.105,498994.71499999997,501952.78500000003,501063.765
2677.5,499322.97,498764.71499999997,502279.6,501359.315
2685.0,498993.795,498948.01,502936.385,501731.855
2692.5,499393.475,499410.20999999996,502107.655,501453.07999999996
2700.0,499416.365,499419.56,501772.295,501590.07499999995
2707.5,498592.405,498653.32999999996,501660.92,500894.64
2715.0,499256.70499999996,499447.855,502066.525,502157.095
2722.5,499447.885,499804.12,501837.985,503313.07999999996
2730.0,498991.07499999995,499533.20499999996,502983.08999999997,501640.125
2737.5,499482.545,499589.515,502496.56999999995,500671.70999999996
2745.0,499513.0,500227.145,501745.12,500779.745
2752.5,499631.76,500060.06,502134.505,500649.165
2760.0,500239.565,499732.69499999995,502602.82999999996,502411.58999999997
2767.5,499428.77,499708.435,502368.39,502112.505
2775.0,499043.655,499272.07999999996,502193.53500000003,501710.69499999995
2782.5,499748.675,500076.28,502854.755,501075.4
2790.0,499634.305,499250.135,502070.115,500960.57999999996
2797.5,499272.565,499478.255,501957.78,501281.91000000003
2805.0,499849.11,500254.03500000003,502771.53,501066.15
2812.5,498914.03,499857.77,502520.305,501865.33999999997
2820.0,498987.53,499062.665,502651.01,501291.97
2827.5,499136.31999999995,500307.95999999996,502257.87,501516.665
2835.0,499051.295,499966.975,501835.245,502167.905
2842.5,499092.57499999995,499504.86,502553.95499999996,501861.78500000003
2850.0,499208.17,499702.855,502992.095,501995.08499999996
2857.5,499944.495,499431.95999999996,503759.895,501853.51
2865.0,499413.355,500120.05,503046.16000000003,502319.57499999995
2872.5,498922.93,499914.53500000003,502213.81,502053.495
2880.0,499406.025,499938.54,502242.665,500930.31
2887.5,499645.44499999995,499728.94999999995,502384.88,500209.88
2895.0,499738.975,499533.53,503026.32999999996,501513.89
2902.5,499114.755,499057.15,502669.225,501863.805
2910.0,499142.51,499454.12,502639.77,502274.495
2917.5,498853.49,500372.675,501351.95499999996,501727.70999999996
2925.0,498958.08999999997,499702.61,502210.53500000003,501539.925
2932.5,499231.425,500491.98,502572.05,501333.56999999995
2940.0,499677.20499999996,500195.15,502764.44499999995,501922.17
2947.5,498956.025,499213.005,502783.27,501530.03
2955.0,498519.615,499830.01,502549.83999999997,501520.42
2962.5,498889.6,500402.0,502420.74,501582.775
2970.0,499480.505,500196.53,501197.43,501784.015
2977.5,499662.74,499737.02,501502.275,501095.57999999996
2985.0,499040.56,499649.11,501734.56,501696.61
2992.5,499210.11,499709.93,502583.32999999996,501870.015
3000.0,498962.77,500113.165,503020.545,502020.795
3007.5,499951.05,499983.54,501615.495,502041.08499999996
3015.0,499365.63,499871.79,501753.105,501325.6
3022.5,499144.12,499727.225,502636.745,501758.82999999996
3030.0,499606.53,498903.675,502693.75,501396.27
3037.5,499306.525,498949.08999999997,502849.52,502025.93
3045.0,499764.70499999996,499860.095,502783.995,501310.77
3052.5,499113.82499999995,499065.135,502323.665,500895.675
3060.0,499548.0,499447.005,502465.11,501706.35
3067.5,499719.915,499939.82499999995,502176.645,501884.26
3075.0,499048.735,499524.025,501836.775,501678.70499999996
3082.5,499725.65,499694.165,502466.33999999997,501447.245
3090.0,499982.32999999996,499319.595,502037.375,501256.83999999997
3097.5,499281.805,499206.31,501771.76,501547.735
3105.0,499835.63,499728.26,503332.64,501318.125
3112.5,499611.05,499879.17,502671.435,501054.0
3120.0,500081.35,499706.79,501951.95999999996,501565.19499999995
3127.5,500078.125,499745.28500000003,502341.185,501511.27
3135.0,499318.85,499512.54,502192.70999999996,502145.78
3142.5,498907.08499999996,499235.905,502280.525,502382.47
3150.0,499579.03,498885.75,502199.28,501279.72
3157.5,499807.37,499002.41000000003,502600.06,501048.235
3165.0,499345.51,500288.81,501952.345,501013.005
3172.5,499217.77,500110.70499999996,502202.18,501376.495
3180.0,499411.565,499863.775,502326.61,502606.15
3187.5,499885.255,499770.755,502624.28,502234.315
3195.0,499724.67,499504.315,502783.47,501409.14
3202.5,498879.665,500159.78,502455.87,501142.57499999995
3210.0,499847.63,500351.645,502326.135,501968.03500000003
3217.5,499705.3,500141.07999999996,503083.275,501567.63
3225.0,499673.515,500380.77,502967.3,501878.365
3232.5,499021.70499999996,500412.03,501160.53,502400.1
3240.0,499012.725,500800.26,501870.47,501860.755
3247.5,499824.685,500419.31999999995,502159.895,502484.01
3255.0,499978.3,500002.56999999995,502098.125,502229.6
3262.5,499500.44,500037.175,501879.81999999995,501785.625
3270.0,499130.12,499912.08999999997,501959.505,502803.925
3277.5,499367.52,499697.4,503021.63,501896.87
3285.0,499330.57499999995,499576.345,503170.46499999997,501623.20499999996
3292.5,499852.58499999996,499281.54,502409.87,501538.295
3300.0,499515.495,499273.1,503137.83499999996,500911.755
3307.5,499234.06999999995,499940.81999999995,502413.42,502058.95499999996
3315.0,499101.42,499847.74,501228.26,501711.85
3322.5,499753.07499999995,499367.26,501439.07999999996,500484.185
3330.0,499644.495,499465.32499999995,501967.26,500896.68
3337.5,499172.3,499838.245,502770.415,501372.79
3345.0,499525.25,500299.74,502433.645,500868.01
3352.5,499166.42,499494.765,502504.51,500637.73
3360.0,498999.405,499932.505,502783.555,501467.95999999996
3367.5,498588.055,499283.15,502755.0,501687.83999999997
3375.0,499367.39,499200.57499999995,502536.135,501513.275
3382.5,499662.33999999997,499421.61,502788.03,501508.165
3390.0,498991.39,499263.73,502710.66000000003,501063.83999999997
3397.5,499552.27,499597.365,501849.85,501524.63
3405.0,498994.055,498950.435,502099.635,501810.895
3412.5,499782.82999999996,499194.19999999995,502737.625,501181.635
3420.0,499516.545,500271.83499999996,503000.0,501687.86
3427.5,499830.685,499975.98,502936.94,502030.73
3435.0,499314.91000000003,500911.03500000003,502766.82499999995,502418.21499999997
3442.5,498957.28,500194.0,502303.365,502294.38
3450.0,499913.565,499605.505,502917.35,502102.73
3457.5,499324.33999999997,500032.91000000003,503365.63,501213.875
3465.0,499408.81999999995,500161.12,502824.22,501060.0
3472.5,499412.15,499731.58999999997,502351.545,501555.665
3480.0,499997.025,499822.615,502486.845,502064.33999999997
3487.5,499606.725,499864.635,502291.15,500952.69999999995
3495.0,499454.845,499680.0,503132.155,500992.505
3502.5,499317.39,499763.42,502445.35,500822.05
3510.0,499767.23,499886.87,501810.44499999995,501417.155
3517.5,500116.745,500037.485,502569.47,501351.875
3525.0,499401.125,499483.21499999997,502584.06,501221.69999999995
3532.5,499133.82499999995,499605.905,502279.135,500911.66000000003
3540.0,499016.28,499859.07999999996,501811.095,501804.145
3547.5,498933.98,499443.15,502074.905,500988.475
3555.0,499815.03500000003,499970.545,502731.41000000003,500779.13
3562.5,499417.31999999995,499832.95499999996,502582.56999999995,501614.435
3570.0,498593.635,499699.88,501428.81,501706.83499999996
3577.5,498905.25,499758.94499999995,501745.82999999996,502093.29
3585.0,499626.885,500105.4,502470.19499999995,501232.655
3592.5,499082.855,499871.29,502098.77,501119.72
3600.0,499190.105,500130.98,503003.295,501628.365
3607.5,499429.26,499542.865,502649.725,501322.29
3615.0,499544.005,499558.78,501988.72,502049.45499999996
